Overload1,10130,FT,dtibaqui,18,0,18,0
Inload,10022,FT,dtseng,12,12,0,0
Overload1,10024,FT,dtseng,12,0,0,0
Overload1,5909,FT,dwadle,12,0,12,0
Overload2,5910,FT,dwadle,12,0,12,0
Inload,8080,FT,dwadle,12,12,0,0
Inload,5414,FT,ebelokon,12,12,0,0
Overload1,5748,FT,ebelokon,12,0,0,0
Inload,9880,FT,ebillion,18,18,0,0
Overload3,6999,FT,ebillion,22,0,22,0
Inload,6183,FT,ebuchhol,12,12,0,0
Overload1,6184,FT,ebuchhol,12,0,0,12
Inload,5580,FT,ediaz,12,12,0,0
Overload1,5584,FT,ediaz,12,0,12,0
Overload2,5612,FT,ediaz,12,0,12,0
Inload,6885,FT,efernan2,12,12,0,0
Overload1,9812,FT,efernan2,12,0,0,0
Overload2,9815,FT,efernan2,12,0,0,0
Inload,4220,FT,eherna13,12,12,0,0
Overload1,10089,FT,eherna13,12,0,12,0
Inload,8706,FT,ekeane,12,12,0,0
Overload1,10029,FT,ekeane,12,0,0,0
Overload1,9711,FT,ekinnair,18,0,0,0
Inload,2241,FT,ekinnair,18,18,0,0
Overload3,3144,FT,eperezmi,12,0,12,0
Overload4,3145,FT,eperezmi,12,0,12,0
Inload,3147,FT,eperezmi,12,12,0,0
Overload1,9987,FT,eperezmi,12,0,12,0
Inload,4040,FT,ephilias,12,12,0,0
Overload1,6980,FT,ephilias,12,0,0,0
Inload,4082,FT,eprinci1,12,12,0,0
Overload1,10091,FT,eprinci1,12,0,12,0
Inload,4728,FT,erodrig8,12,12,0,0
Inload,9998,FT,ezjevik,12,12,0,0
Overload1,10031,FT,ezjevik,12,0,12,0
Inload,2686,FT,flarios,12,12,0,0
Overload1,2689,FT,flarios,12,0,0,0
Overload2,2704,FT,flarios,12,0,0,0
Overload1,6909,FT,flopez,18,0,0,0
Inload,2231,FT,fpittman,18,18,0,0
Overload1,8121,FT,fpittman,18,0,0,18
Inload,2244,FT,ggabb,18,18,0,0
Inload,1612,FT,glotocki,12,12,0,0
Overload1,1708,FT,glotocki,12,0,12,0
Overload2,1436,FT,glotocki,6,0,6,0
Inload,6175,FT,gprincip,16,16,0,0
Overload1,6176,FT,gprincip,16,0,16,0
Inload,1814,FT,hburrows,12,12,0,0
Overload2,6246,FT,hburrows,12,0,0,0
Overload1,7009,FT,hburrows,12,0,0,0
Inload,2236,FT,hnguyen,18,18,0,0
Overload2,2116,FT,hnguyen,18,0,0,0
Inload,5212,FT,hperalta,12,12,0,0
Overload1,5213,FT,hperalta,12,0,0,0
Overload4,3410,FT,hroland,12,0,0,0
Overload1,6174,FT,hroland,4,0,0,0
Overload2,6195,FT,hroland,4,0,0,0
Overload3,10065,FT,hroland,4,0,0,0
Inload,6012,FT,hroland,12,12,0,0
Inload,2959,FT,ibarsony,12,12,0,0
Overload1,6922,FT,ibarsony,12,0,0,0
Inload,4021,FT,icobham,12,12,0,0
Overload1,4023,FT,icobham,12,0,12,0
Overload2,8179,FT,icobham,12,0,6,6
Inload,3414,FT,ifernand,12,12,0,0
Overload1,3436,FT,ifernand,12,0,0,0
Inload,3151,FT,ilamaza1,12,12,0,0
Overload1,3162,FT,ilamaza1,12,0,12,0
Overload2,9934,FT,ilamaza1,12,0,12,0
Inload,1830,FT,iporgesw,12,12,0,0
Overload1,1831,FT,iporgesw,12,0,0,0
Overload2,1832,FT,iporgesw,12,0,0,0
Overload1,6181,FT,jbarros,12,0,0,0
Overload2,6182,FT,jbarros,12,0,0,0
Inload,6927,FT,jbarros,12,12,0,0
Inload,3149,FT,jblanco,12,12,0,0
Overload1,3160,FT,jblanco,12,0,0,0
Overload2,8138,FT,jblanco,12,0,0,0
Inload,9996,FT,jcastel2,12,12,0,0
Overload1,10027,FT,jcastel2,12,0,0,0
Inload,3154,FT,jcolagra,12,12,0,0
Overload1,3166,FT,jcolagra,12,0,0,12
Inload,4111,FT,jcorrea7,12,12,0,0
