External_Course_Key|External_Person_Key|Role|Available_Ind|ROW_STATUS
RSK1000-10|1000060524|Student|N|enabled
RSK1000-10|4000145858|Student|N|enabled
RSK1000-10|2000001015|Student|N|enabled
RSK1000-10|1000232419|Student|N|enabled
RSK1000-10|4000033368|Student|N|enabled
RSK1000-10|4000094748|Student|N|enabled
RSK1000-10|4000053353|Student|N|enabled
BBL1003-9|1000264091|Student|N|enabled
BBL1003-9|1000006074|Student|N|enabled
BBL1003-9|1000019097|Student|N|enabled
BBL1003-9|1000016725|Student|N|enabled
BBL1003-9|1000059276|Student|N|enabled
BBL1003-9|1001852655|Student|N|enabled
BBL1003-9|1001711566|Student|N|enabled
BBL1003-9|2000000394|Student|N|enabled
BBL1003-9|1000068886|Student|N|enabled
BBL1003-9|1000037589|Student|N|enabled
BBL1003-9|1000061616|Student|N|enabled
BBL1003-9|1000053451|Student|N|enabled
BBL1003-9|1000035492|Student|N|enabled
BBL1003-9|1002056849|Student|N|enabled
BBL1003-9|2000000906|Student|N|enabled
BBL1003-9|1000032852|Student|N|enabled
BBL1003-9|1000014247|Student|N|enabled
BBL1003-9|1000019134|Student|N|enabled
BBL1003-9|1001342295|Student|N|enabled
BBL1003-9|2000000793|Student|N|enabled
BBL1003-9|1002215553|Student|N|enabled
BBL1003-9|4000043824|Student|N|enabled
BBL1003-9|4000009898|Student|N|enabled
BBL1003-9|1000059083|Student|N|enabled
BBL1003-9|1000033588|Student|N|enabled
BBL1003-9|1001139107|Student|N|enabled
BBL1003-9|2000000197|Student|N|enabled
BBL1003-9|1000017801|Student|N|enabled
BBL1003-9|1000062900|Student|N|enabled
BBL1003-9|1000001096|Student|N|enabled
BBL1003-9|1000019324|Student|N|enabled
BBL1003-9|2000000059|Student|N|enabled
BBL1003-9|1000019475|Student|N|enabled
BBL1003-9|1001409868|Student|N|enabled
BBL1003-9|1001552046|Student|N|enabled
BBL1003-9|2000000862|Student|N|enabled
BBL1003-9|1000017597|Student|N|enabled
BBL1003-9|1000059302|Student|N|enabled
BBL1003-9|1000973307|Student|N|enabled
BBL1003-9|1000251086|Student|N|enabled
BBL1003-9|1000070200|Student|N|enabled
BBL1003-9|2000000936|Student|N|enabled
BBL1003-9|1000047593|Student|N|enabled
BBL1003-9|1002252752|Student|N|enabled
BBL1003-9|1000066170|Student|N|enabled
BBL1003-9|1000618644|Student|N|enabled
RSK1001-9|1002270083|Student|N|enabled
RSK1001-9|4000039275|Student|N|enabled
RSK1001-9|1000376488|Student|N|enabled
RSK1001-9|1002282081|Student|N|enabled
RSK1001-9|1001428774|Student|N|enabled
RSK1001-9|1001446950|Student|N|enabled
RSK1001-9|2000000915|Student|N|enabled
RSK1001-9|1000352955|Student|N|enabled
RSK1001-9|1000911481|Student|N|enabled
RSK1001-9|2000000981|Student|N|enabled
RSK1001-9|1000362830|Student|N|enabled
RSK1001-9|1001019721|Student|N|enabled
RSK1001-9|2000000956|Student|N|enabled
RSK1001-9|1002245781|Student|N|enabled
RSK1001-9|1000927711|Student|N|enabled
RSK1001-9|1000878033|Student|N|enabled
RSK1001-9|1000040566|Student|N|enabled
RSK1001-9|1001657658|Student|N|enabled
RSK1001-9|1000296054|Student|N|enabled
RSK1001-9|1000028392|Student|N|enabled
RSK1001-9|1000578721|Student|N|enabled
RSK1001-9|1000049065|Student|N|enabled
RSK1001-9|1000350568|Student|N|enabled
RSK1001-9|4000015102|Student|N|enabled
RSK1001-9|1001531057|Student|N|enabled
RSK1001-9|1001042782|Student|N|enabled
RSK1001-9|1000070762|Student|N|enabled
RSK1001-9|1000798244|Student|N|enabled
RSK1001-9|4000062050|Student|N|enabled
RSK1001-9|1001104795|Student|N|enabled
RSK1001-9|2000000959|Student|N|enabled
RSK1001-9|1002264773|Student|N|enabled
RSK1001-9|1001418600|Student|N|enabled
RSK1001-9|1002028836|Student|N|enabled
RSK1001-9|4000034396|Student|N|enabled
RSK1001-9|4000067318|Student|N|enabled
