ARC2201,0,7/13/2020,7/19/2020,1,8/13/2020,8/19/2020,6/17/2020,6/21/2020,7/5/2020,7/9/2020,7/29/2020,8/2/2020,8/16/2020,8/20/2020
ARC2461,1,7/13/2020,7/19/2020,1,8/13/2020,8/19/2020,6/17/2020,6/21/2020,7/5/2020,7/9/2020,7/29/2020,8/2/2020,8/16/2020,8/20/2020
ARC2701,0,7/13/2020,7/19/2020,1,8/13/2020,8/19/2020,6/17/2020,6/21/2020,7/5/2020,7/9/2020,7/29/2020,8/2/2020,8/16/2020,8/20/2020
ARC2702,0,7/13/2020,7/19/2020,1,8/13/2020,8/19/2020,6/17/2020,6/21/2020,7/5/2020,7/9/2020,7/29/2020,8/2/2020,8/16/2020,8/20/2020
ARH1000,0,7/13/2020,7/19/2020,1,8/13/2020,8/19/2020,6/17/2020,6/21/2020,7/5/2020,7/9/2020,7/29/2020,8/2/2020,8/16/2020,8/20/2020
AVM2515,1,7/13/2020,7/19/2020,0,8/13/2020,8/19/2020,6/17/2020,6/21/2020,7/5/2020,7/9/2020,7/29/2020,8/2/2020,8/16/2020,8/20/2020
BAN1004,0,7/13/2020,7/19/2020,0,8/13/2020,8/19/2020,6/17/2020,6/21/2020,7/5/2020,7/9/2020,7/29/2020,8/2/2020,8/16/2020,8/20/2020
BCNXXXX,0,7/13/2020,7/19/2020,0,8/13/2020,8/19/2020,6/17/2020,6/21/2020,7/5/2020,7/9/2020,7/29/2020,8/2/2020,8/16/2020,8/20/2020
BSC1005,1,7/13/2020,7/19/2020,1,8/13/2020,8/19/2020,6/17/2020,6/21/2020,7/5/2020,7/9/2020,7/29/2020,8/2/2020,8/16/2020,8/20/2020
BSC1050,0,7/13/2020,7/19/2020,1,8/13/2020,8/19/2020,6/17/2020,6/21/2020,7/5/2020,7/9/2020,7/29/2020,8/2/2020,8/16/2020,8/20/2020
BSC2010,1,7/13/2020,7/19/2020,1,8/13/2020,8/19/2020,6/17/2020,6/21/2020,7/5/2020,7/9/2020,7/29/2020,8/2/2020,8/16/2020,8/20/2020
BSC2085,1,7/13/2020,7/19/2020,1,8/13/2020,8/19/2020,6/17/2020,6/21/2020,7/5/2020,7/9/2020,7/29/2020,8/2/2020,8/16/2020,8/20/2020
BSC2085L,1,7/13/2020,7/19/2020,1,8/13/2020,8/19/2020,6/17/2020,6/21/2020,7/5/2020,7/9/2020,7/29/2020,8/2/2020,8/16/2020,8/20/2020
