CourseID,ReferenceNumber,EnrollEnd,CourseStart,CourseEnd,TermYear,SchoolTerm,TermChoiceID,TuitionIS,GSFIS,TuitionOS,GSFOS,Title,InstructorName,CourseAvailability,FormatChoiceID,CourseType,DeliveryID,VisitRequired,TechRequirements,OtherConsiderations,SynchronousMeetingsRequired,ScheduleNotes,RegistrationStatus
246,6200,5/9/2021,5/10/2021,7/30/2021,2021,Summer,76,389.67,45,1607.91,45,Art Appreciation,TBA,3,9,1,1,F,High Speed Internet - MS Office,Contact instructor for further information.,F,None,1
246,6201,5/9/2021,5/10/2021,6/18/2021,2021,Summer,76,389.67,45,1607.91,45,Art Appreciation,Yomarie Silva-Oneal,3,9,1,1,F,High Speed Internet - MS Office,Contact instructor for further information.,F,None,1
246,6202,5/9/2021,5/10/2021,6/18/2021,2021,Summer,76,389.67,45,1607.91,45,Art Appreciation,Lucas Blanco,3,9,1,1,F,High Speed Internet - MS Office,Contact instructor for further information.,F,None,1
246,6203,5/9/2021,5/10/2021,6/18/2021,2021,Summer,76,389.67,45,1607.91,45,Art Appreciation,Yomarie Silva-Oneal,3,9,1,1,F,High Speed Internet - MS Office,Contact instructor for further information.,F,None,1
246,6205,6/20/2021,6/21/2021,7/30/2021,2021,Summer,76,389.67,45,1607.91,45,Art Appreciation,TBA,3,9,1,1,F,High Speed Internet - MS Office,Contact instructor for further information.,F,None,1
246,6206,6/20/2021,6/21/2021,7/30/2021,2021,Summer,76,389.67,45,1607.91,45,Art Appreciation,TBA,3,9,1,1,F,High Speed Internet - MS Office,Contact instructor for further information.,F,None,1
246,6207,6/20/2021,6/21/2021,7/30/2021,2021,Summer,76,389.67,45,1607.91,45,Art Appreciation,TBA,3,9,1,1,F,High Speed Internet - MS Office,Contact instructor for further information.,F,None,1
246,6208,6/20/2021,6/21/2021,7/30/2021,2021,Summer,76,389.67,45,1607.91,45,Art Appreciation,TBA,3,9,1,1,F,High Speed Internet - MS Office,Contact instructor for further information.,F,None,1
246,6198,5/9/2021,5/10/2021,7/30/2021,2021,Summer,76,389.67,45,1607.91,45,Art Appreciation,TBA,3,9,1,1,F,High Speed Internet - MS Office,Contact instructor for further information.,F,None,1
246,6199,5/9/2021,5/10/2021,7/30/2021,2021,Summer,76,389.67,45,1607.91,45,Art Appreciation,TBA,3,9,1,1,F,High Speed Internet - MS Office,Contact instructor for further information.,F,None,1
247,5940,5/9/2021,5/10/2021,6/18/2021,2021,Summer,76,389.67,45,1607.91,45,Quality Management,TBA,3,9,1,1,F,High Speed Internet - MS Office,Contact instructor for further information.,F,None,1
249,4645,6/20/2021,6/21/2021,7/30/2021,2021,Summer,76,389.67,45,1607.91,45,Law Intl Trade,TBA,3,9,1,1,F,High Speed Internet - MS Office,Contact instructor for further information.,F,None,1
251,3548,5/9/2021,5/10/2021,6/18/2021,2021,Summer,76,389.67,45,1607.91,45,Effective Supervisio,Nayrie Smith,3,9,1,1,F,High Speed Internet - MS Office,Contact instructor for further information.,F,None,1
251,4832,5/9/2021,5/10/2021,7/30/2021,2021,Summer,76,389.67,45,1607.91,45,Effective Supervisio,TBA,3,9,1,1,F,High Speed Internet - MS Office,Contact instructor for further information.,F,None,1
251,6537,6/20/2021,6/21/2021,7/30/2021,2021,Summer,76,389.67,45,1607.91,45,Effective Supervisio,TBA,3,9,1,1,F,High Speed Internet - MS Office,Contact instructor for further information.,F,None,1
252,4054,5/9/2021,5/10/2021,6/18/2021,2021,Summer,76,389.67,45,1607.91,45,Intro To Mgt Inf Sys,Elodie Billionniere,3,9,1,1,F,High Speed Internet - MS Office,Contact instructor for further information.,F,None,1
252,6436,5/9/2021,5/10/2021,6/18/2021,2021,Summer,76,389.67,45,1607.91,45,Intro To Mgt Inf Sys,TBA,3,9,1,1,F,High Speed Internet - MS Office,Contact instructor for further information.,F,None,1
252,6437,5/9/2021,5/10/2021,6/18/2021,2021,Summer,76,389.67,45,1607.91,45,Intro To Mgt Inf Sys,TBA,3,9,1,1,F,High Speed Internet - MS Office,Contact instructor for further information.,F,None,1
252,6438,6/20/2021,6/21/2021,7/30/2021,2021,Summer,76,389.67,45,1607.91,45,Intro To Mgt Inf Sys,TBA,3,9,1,1,F,High Speed Internet - MS Office,Contact instructor for further information.,F,None,1
252,6439,6/20/2021,6/21/2021,7/30/2021,2021,Summer,76,389.67,45,1607.91,45,Intro To Mgt Inf Sys,TBA,3,9,1,1,F,High Speed Internet - MS Office,Contact instructor for further information.,F,None,1
253,4421,5/9/2021,5/10/2021,6/18/2021,2021,Summer,76,389.67,45,1607.91,45,Bus Taxes & Returns,Hoa Burrows,3,9,1,1,F,High Speed Internet - MS Office,Contact instructor for further information.,F,None,1
254,5891,5/9/2021,5/10/2021,7/30/2021,2021,Summer,76,389.67,45,1607.91,45,Theory/Architecture,TBA,3,9,1,1,F,High Speed Internet - MS Office,Contact instructor for further information.,F,None,1
255,5361,5/9/2021,5/10/2021,7/30/2021,2021,Summer,76,519.56,60,2143.88,60,Arch Mat Const 1,TBA,3,9,1,1,F,High Speed Internet - MS Office,Contact instructor for further information.,F,None,1
255,5892,5/9/2021,5/10/2021,7/30/2021,2021,Summer,76,519.56,60,2143.88,60,Arch Mat Const 1,TBA,3,9,1,1,F,High Speed Internet - MS Office,Contact instructor for further information.,F,None,1
257,5894,5/9/2021,5/10/2021,7/30/2021,2021,Summer,76,389.67,45,1607.91,45,Hist Architecture 2,Jose Vazquez,3,9,1,1,F,High Speed Internet - MS Office,Contact instructor for further information.,F,None,1
259,5922,5/9/2021,5/10/2021,7/30/2021,2021,Summer,76,389.67,45,1607.91,45,History Funeral Svc,TBA,3,9,1,1,F,High Speed Internet - MS Office,Contact instructor for further information.,F,None,1
263,4046,5/9/2021,5/10/2021,7/30/2021,2021,Summer,76,389.67,45,1607.91,45,General Ed Earth Sci,Jose Barros,3,9,1,1,F,High Speed Internet - MS Office,Contact instructor for further information.,F,None,1
263,4047,5/9/2021,5/10/2021,7/30/2021,2021,Summer,76,389.67,45,1607.91,45,General Ed Earth Sci,Jose Barros,3,9,1,1,F,High Speed Internet - MS Office,Contact instructor for further information.,F,None,1
263,4794,5/9/2021,5/10/2021,7/30/2021,2021,Summer,76,389.67,45,1607.91,45,General Ed Earth Sci,David Finneran,3,9,1,1,F,High Speed Internet - MS Office,Contact instructor for further information.,F,None,1
263,4795,5/9/2021,5/10/2021,7/30/2021,2021,Summer,76,389.67,45,1607.91,45,General Ed Earth Sci,David Finneran,3,9,1,1,F,High Speed Internet - MS Office,Contact instructor for further information.,F,None,1
263,4796,5/9/2021,5/10/2021,7/30/2021,2021,Summer,76,389.67,45,1607.91,45,General Ed Earth Sci,TBA,3,9,1,1,F,High Speed Internet - MS Office,Contact instructor for further information.,F,None,1
