CourseID,ReferenceNumber,EnrollEnd,CourseStart,CourseEnd,TermYear,SchoolTerm,TermChoiceID,TuitionIS,GSFIS,TuitionOS,GSFOS,Title,InstructorName,CourseAvailability,FormatChoiceID,CourseType,DeliveryID,VisitRequired,TechRequirements,OtherConsiderations,SynchronousMeetingsRequired,ScheduleNotes,RegistrationStatus
29,2734,8/25/2019,8/26/2019,12/20/2019,2020,Spring,72,519.56,60,2143.88,60,Intro to Computer Tech & Apps,Christopher Corbin,3,9,1,1,F,High Speed Internet - MS Office,Contact instructor for further information.,F,None,1
29,2735,10/27/2019,10/28/2019,12/20/2019,2020,Spring,72,519.56,60,2143.88,60,Intro to Computer Tech & Apps,Rodolfo Cruz,3,9,1,1,F,High Speed Internet - MS Office,Contact instructor for further information.,F,None,1
29,2736,8/25/2019,8/26/2019,12/20/2019,2020,Spring,72,519.56,60,2143.88,60,Intro to Computer Tech & Apps,W. Barry Andrews,3,9,1,1,F,High Speed Internet - MS Office,Contact instructor for further information.,F,None,1
29,2737,8/25/2019,8/26/2019,12/20/2019,2020,Spring,72,519.56,60,2143.88,60,Intro to Computer Tech & Apps,Juan Martinez,3,9,1,1,F,High Speed Internet - MS Office,Contact instructor for further information.,F,None,1
29,2738,8/25/2019,8/26/2019,12/20/2019,2020,Spring,72,519.56,60,2143.88,60,Intro to Computer Tech & Apps,James Poe,3,9,1,1,F,High Speed Internet - MS Office,Contact instructor for further information.,F,None,1
29,2739,8/25/2019,8/26/2019,12/20/2019,2020,Spring,72,519.56,60,2143.88,60,Intro to Computer Tech & Apps,Felix Lopez,3,9,1,1,F,High Speed Internet - MS Office,Contact instructor for further information.,F,None,1
29,8758,8/25/2019,8/26/2019,12/20/2019,2020,Spring,72,519.56,60,2143.88,60,Intro to Computer Tech & Apps,Eugene Kinnaird,3,9,1,1,F,High Speed Internet - MS Office,Contact instructor for further information.,F,None,1
29,8762,8/25/2019,8/26/2019,12/20/2019,2020,Spring,72,519.56,60,2143.88,60,Intro to Computer Tech & Apps,John Maloney,3,9,1,1,F,High Speed Internet - MS Office,Contact instructor for further information.,F,None,1
29,8764,8/25/2019,8/26/2019,12/20/2019,2020,Spring,72,519.56,60,2143.88,60,Intro to Computer Tech & Apps,George Gabb,3,9,1,1,F,High Speed Internet - MS Office,Contact instructor for further information.,F,None,1
29,10828,8/25/2019,8/26/2019,12/20/2019,2020,Spring,72,519.56,60,2143.88,60,Intro to Computer Tech & Apps,Alicia Ibarra,3,9,1,1,F,High Speed Internet - MS Office,Contact instructor for further information.,F,None,1
29,10830,8/25/2019,8/26/2019,12/20/2019,2020,Spring,72,519.56,60,2143.88,60,Intro to Computer Tech & Apps,Ana Guzman,3,9,1,1,F,High Speed Internet - MS Office,Contact instructor for further information.,F,None,1
29,10832,8/25/2019,8/26/2019,12/20/2019,2020,Spring,72,519.56,60,2143.88,60,Intro to Computer Tech & Apps,Javier Coto,3,9,1,1,F,High Speed Internet - MS Office,Contact instructor for further information.,F,None,1
29,10834,8/25/2019,8/26/2019,12/20/2019,2020,Spring,72,519.56,60,2143.88,60,Intro to Computer Tech & Apps,Floyd Pittman,3,9,1,1,F,High Speed Internet - MS Office,Contact instructor for further information.,F,None,1
234,8766,8/25/2019,8/26/2019,12/20/2019,2020,Spring,72,519.56,60,2143.88,60,Database Concepts Design,Julian Harris,3,9,1,1,F,High Speed Internet - MS Office,Contact instructor for further information.,F,None,1
196,3056,8/25/2019,8/26/2019,12/20/2019,2020,Spring,72,519.56,60,2143.88,60,Operating System,Nelly Delessy,3,9,1,1,F,High Speed Internet - MS Office,Contact instructor for further information.,F,None,1
37,3176,8/25/2019,8/26/2019,12/20/2019,2020,Spring,72,389.67,45,1607.91,45,Intro To Corrections,Samantha Carlo,3,9,1,1,F,High Speed Internet - MS Office,Contact instructor for further information.,F,None,1
37,3207,8/25/2019,8/26/2019,12/20/2019,2020,Spring,72,389.67,45,1607.91,45,Intro To Corrections,Norma Dieppa,3,9,1,1,F,High Speed Internet - MS Office,Contact instructor for further information.,F,None,1
38,3149,8/25/2019,8/26/2019,12/20/2019,2020,Spring,72,389.67,45,1607.91,45,Parole-Probation,Nancy Alleyne,3,9,1,1,F,High Speed Internet - MS Office,Contact instructor for further information.,F,None,1
292,9775,10/27/2019,10/28/2019,12/20/2019,2020,Spring,72,389.67,45,1607.91,45,Adv Probation/Parole,Samantha Carlo,3,9,1,1,F,High Speed Internet - MS Office,Contact instructor for further information.,F,None,1
244,3252,8/25/2019,8/26/2019,12/20/2019,2020,Spring,72,389.67,45,1607.91,45,Crim Scene Tech 1,Sharon Plotkin,3,9,1,1,F,High Speed Internet - MS Office,Contact instructor for further information.,F,None,1
40,3159,8/25/2019,8/26/2019,12/20/2019,2020,Spring,72,389.67,45,1607.91,45,Criminal Investigat,Ronald Morales,3,9,1,1,F,High Speed Internet - MS Office,Contact instructor for further information.,F,None,1
202,3226,10/27/2019,10/28/2019,12/20/2019,2020,Spring,72,389.67,45,1607.91,45,Inter Comm For Le,Caryn Horwitz,3,9,1,1,F,High Speed Internet - MS Office,Contact instructor for further information.,F,None,1
231,3253,10/27/2019,10/28/2019,12/20/2019,2020,Spring,72,389.67,45,1607.91,45,Adv Criminal Ivest,Nerissa James,3,9,1,1,F,High Speed Internet - MS Office,Contact instructor for further information.,F,None,1
41,3190,8/25/2019,8/26/2019,12/20/2019,2020,Spring,72,389.67,45,1607.91,45,Juvenile Delinquency,Norma Dieppa,3,9,1,1,F,High Speed Internet - MS Office,Contact instructor for further information.,F,None,1
42,3152,8/25/2019,8/26/2019,12/20/2019,2020,Spring,72,389.67,45,1607.91,45,Criminal Law,Nerissa James,3,9,1,1,F,High Speed Internet - MS Office,Contact instructor for further information.,F,None,1
43,3193,8/25/2019,8/26/2019,12/20/2019,2020,Spring,72,389.67,45,1607.91,45,Const Law/Leg Prc/Ev,Selena Respass,3,9,1,1,F,High Speed Internet - MS Office,Contact instructor for further information.,F,None,1
43,10342,8/25/2019,8/26/2019,12/20/2019,2020,Spring,72,389.67,45,1607.91,45,Const Law/Leg Prc/Ev,Susanna Bello,3,9,1,1,F,High Speed Internet - MS Office,Contact instructor for further information.,F,None,1
44,3228,8/25/2019,8/26/2019,10/18/2019,2020,Spring,72,389.67,45,1607.91,45,Judicial Policy,Samantha Carlo,3,9,1,1,F,High Speed Internet - MS Office,Contact instructor for further information.,F,None,1
